Date,TowerID,Place,Region,Description of change,Source,Route
2023-02-27,17719,"Rodmarton, S Peter",Gloucestershire,Overhaul date and description amended,"Whites of Appleton website, 2015 projects",
2023-02-27,10472,"Saltaire, United Reformed Ch",West Yorkshire,PN amended,Robert Appleby #004647,
2023-02-27,12270,"Sawbridgeworth, Great S Mary",Hertfordshire,"Overhaul added; Fr1: truss, layout added; tuning year added; 1-7: turning added",Oliver Lee (visited 22/2/23),
2023-02-27,23517,"South Moreton, S John Bapt",Oxfordshire,Overhaul added; 1-2: hanging added,"Whites of Appleton website, 2015 projects",
2023-02-27,12585,"St Annes on the Sea, S Anne",Lancashire,Project description amended,"Stuart Newton, local contact, and David Kelly, Keltek Trust",
2023-02-27,23820,"Stoke Orchard, S James",Gloucestershire,1: canons added,Andy Marchant from personal records,
2023-02-27,15131,"Tring, S Peter & S Paul",Hertfordshire,URL amended,Lucas Williams (local ringer) #004620,
2023-02-27,24268,"Twigworth, S Matthew",Gloucestershire,Church closed added,Andy Marchant and see: https://www.alderking.com/properties/church-of-st-matthew-gloucester-gl2-9be-97601/,
2023-02-27,15012,"Wath juxta Ripon, S Mary",North Yorkshire,4: turning amended,Martin Davies #004622,
2023-02-26,14876,"Chester, Old St Mary's",Cheshire,Gudgeon work to treble headstock complete,David Potter,#004632
2023-02-26,11361,"Garstang, S Helen, Churchtown",Lancashire,Postcode amended,Rob Chapman,#004631
2023-02-26,13232,"Liskeard, S Martin",Cornwall,Refurbishment project now active,David Potter,#004629
2023-02-26,23055,"Roehampton, Holy Trinity",Greater London,Project to install a new ring of eight now started,David Potter,#004629
2023-02-24,19647,"Ditteridge, S Christopher",Wiltshire,Overhaul added; 1: hanging type added,"Whites of Appleton website, 2015 projects",
2023-02-24,17243,"Dowdeswell, S Michael",Gloucestershire,Overhaul added; 1-3: hanging type aded,Andy Marchant from personal records. See also Dove De-Listed Threes list,
2023-02-24,19737,"Duntisbourne Abbots, S Peter",Gloucestershire,"Overhaul, tuning year, Fr1 added; 1-3: note, turning, hanging type, frame number added","Andy Marchant from personal records. See also CB Glos, Bliss and Sharpe. Notes provided by Nigel Taylor from personal tuning records",
2023-02-24,10442,"East Clandon, S Thomas of Canterbury",Surrey,Overhaul added,"Whites of Appleton website, 2017 projects",
2023-02-24,10179,"East Hanningfield, All Saints",Essex,Overhaul description amended,"Whites of Appleton website, 2016 projects",
2023-02-24,20045,"Fareham, Holy Trinity",Hampshire,"Overhaul added; 1,Service: hanging type added","Whites of Appleton website, 2015 projects",
2023-02-24,20395,"Great Bourton, All Saints",Oxfordshire,Overhaul added; ring and chime bells swapped; hanging type added,"CB Oxon, Sharpe. See also Whites of Appleton website, 2017 projects",
2023-02-24,20476,"Gretton, Christ Church",Gloucestershire,Overhaul added; ring type amended; 1: hanging type added,"Andy Marchant from personal records. See also Whites of Appleton website, 2013 projects.",
2023-02-24,16168,"Hatfield, S Lawrence",South Yorkshire,Added note on state of the tower and bells,Ted Steele,Bell Historians mailing list
2023-02-24,17256,"Hawling, S Edward",Gloucestershire,Overhaul added,"CB Glos, Bliss and Sharpe. Additional information provided by Tim Jackson from personal visit (2006)",
2023-02-24,25276,"Hermitage, Holy Trinity",Berkshire,New tower and bell details added; overhaul added,"OS Map; ABC Gazetteer; Crockford; CHR; StreetMap; Historic England. CB Berks, Sharpe.  See also Whites of Appleton website, 2013 projects",
2023-02-24,25278,"Holywell, S Wilfrid",Lincolnshire,New tower and bell details added; overhaul added,"OS Map; ABC Gazetteer; CHR; StreetMap. Whites of Appleton website, 2014 projects and also GAD NBR (Lincoln Diocese",
2023-02-23,17803,"Abingdon, S Michael & All Angels",Oxfordshire,Overhaul added; 1-3: hanging type added,"Whites of Appleton website, 2017 projects",
2023-02-23,11600,"Aldworth, S Mary V",Berkshire,Overhaul description added,"Whites of Appleton website, 2011 projects",
2023-02-23,17909,"Amberley, no dedication",Herefordshire,Place name amended,OS Map; ABC Gazetteer; Crockford; CHR,Tim Jackson
2023-02-23,17914,"Ampfield, S Mark",Hampshire,Overhaul added; 1-2: hanging type added,,
2023-02-23,18170,"Bassett, S Michael & All Angels",Hampshire,Overhaul added; 1: hanging type added,"Whites of Appleton website, 2016 projects",
2023-02-23,17736,"Belleau, S John Bapt",Lincolnshire,1-3: hanging type added,"Whites of Appleton website, 2015 projects",
2023-02-23,18607,"Bramshaw, S Peter",Hampshire,Overhaul added; 1-2: hanging type added,"Whites of Appleton website, 2014 projects",
2023-02-23,10870,"Bramshott, S Mary V",Hampshire,"Overhauls added; Fr1: date, maker added, truss amended; 1-6: turning added",John Regin from personal visit,
2023-02-23,17731,"Brimscombe, Holy Trinity",Gloucestershire,Tuning added; 1-3: note amended,Andy Marchant from personal records,
2023-02-23,18796,"Burgh Castle, S Peter & S Paul",Norfolk,Single bell removed as created in error; Note added,"Burgh St Peter: See CB Norfolk, Part 1, Paul Cattermole",
2023-02-23,25274,"Burgh St Peter, S Peter",Norfolk,New tower and bell details added,"OS Map; ABC Gazetteer; Crockford; StreetMap; Historic England and CB Norfolk, Part 1, Paul Cattermole",
2023-02-23,12639,"Chadshunt, All Saints",Warwickshire,"Overhaul added; Fr1: truss, layout, resultant layout added","Mike Chester, citing Chris Pickford and Chris Pickford (frame)",
2023-02-23,15124,"Chew Magna, S Andrew",Somerset,Overhaul added,Matthew Higby,
2023-02-23,10405,"Kessingland, S Edmund",Suffolk,Ellacombe added,Neal Dodge,
2023-02-23,18018,"St Leonards, S Leonard",Buckinghamshire,Place name amended,OS Map; ABC Gazetteer; Crockford; CHR,Tim Jackson
2023-02-22,15124,"Chew Magna, S Andrew",Somerset,1-8: turning added,Matthew Higby #004608,
2023-02-22,13291,"Cossington, All Saints",Leicestershire,"PN added; SatNav change for Cossington All Saints, Leics.  The revision shows clearly which drive to use to the car park on the south side of the church",Hharry Longman #004611,
2023-02-22,12859,"Ely, S Mary",Cambridgeshire,Toilet added,Neal Dodge,
2023-02-22,13088,"Mereworth, S Lawrence",Kent,Toilet added,Ian Oram #004612,
2023-02-22,15152,"Orlestone, S Mary",Kent,1-3: turning added,Mears & Stainbank report 1 Aug 1913,David L Cawley
2023-02-21,17116,"Ashen, S Augustine",Essex,"Minor overhaul to be carried out, including removal of cast in crown staple roots, cleaning and painting of ironwork and clapper overhaul.",Matthew Higby,#004601
2023-02-21,10532,"Brighton, S Peter",East Sussex,Ringing has been suspended pending investigation due to discovery of loose stonework on tower roof,Rob Lane,#004602
2023-02-21,14144,"Bromley, S Peter & S Paul",Greater London,New automatic sound control system to be  manufactured and installed,David Potter,#004603
2023-02-21,14293,"Buckerell, S Mary & S Giles",Devon,2-6: nominal amended; 1-4: turning added,"Nigel Taylor's personal tuning records (3 trebles recast, treble to make 6 added, 2 old bells tuned) #004596",
2023-02-21,15124,"Chew Magna, S Andrew",Somerset,PN amended,"John Sewart, Tower Captain  #004604",
2023-02-21,19737,"Duntisbourne Abbots, S Peter",Gloucestershire,1-3: nominal added; 2: diameter amended; 1: turning added,Nigel Taylor's personal tuning records #004594,
2023-02-21,20068,"Farringdon, All Saints",Hampshire,Tuning year added; 1-4: nominal added; 3: turning added,Nigel Taylor's personal tuning records #004597,
2023-02-21,14200,"Great Hormead, S Nicholas",Hertfordshire,Ringing chamber to be relocated to the ground floor with new rope guide and some bells to be re-roped,David Potter,#004603
2023-02-21,22379,"Newton on Ouse, All Saints",North Yorkshire,"1-3: nominal amended; 2: canons, turning added",Nigel Taylor's personal tuning records #004598,
2023-02-21,23174,"Sandford on Thames, S Andrew",Oxfordshire,2-3: weight added; 1-3: nominal added,Nigel Taylor's personal tuning records #004599,
2023-02-21,15131,"Tring, S Peter & S Paul",Hertfordshire,1-8: turning added,"Howard Collings, local ringer, quoting Whites of Appleton",James Hedgcock #004606
2023-02-21,11264,"Wangaratta, Cath Ch of Holy Trinity","Victoria, Australia",1-8: nominal amended; 1-8: turning added,Nigel Taylor's personal tuning records #004600,
2023-02-21,12369,"Wexford, Immaculate Conception (RC)","Wexford, Republic of Ireland",PN added,"Paul Byrne, tower captain",Susan Ellis #004605
2023-02-20,17778,"Armagh, Cath Ch of S Patrick (RC)","Armagh, Northern Ireland",changed domain of association webpage,,
2023-02-20,17510,"Bournville, Bournville Village Primary School",West Midlands,changed domain of association webpage,,
2023-02-20,15210,"Chelsea, All Saints Old Church",Greater London,Display bell: hanging amended,Photograph,Dickon R Love
2023-02-20,17779,"Cobh, Cath Ch of S Colman (RC)","Cork, Republic of Ireland",changed domain of association webpage,,
2023-02-20,17784,"Dumbarton, S Patrick (RC)","West Dunbartonshire, Scotland",changed domain of association webpage,,
2023-02-20,17379,"Godalming, Charterhouse School",Surrey,changed domain of association webpage,,
2023-02-20,25099,"Kilmarnock, S Marnock","East Ayrshire, Scotland",changed domain of association webpage,,
2023-02-20,17781,"Loughborough, War Memorial, Queen's Park",Leicestershire,changed domain of association webpage,,
2023-02-20,17785,"Mayfair, 24 Old Bond Street",Greater London,changed domain of association webpage,,
2023-02-20,17782,"Newcastle upon Tyne, Civic Centre",Tyne and Wear,changed domain of association webpage,,
2023-02-20,17775,"Perth, S John Kirk","Perth and Kinross, Scotland",changed domain of association webpage,,
2023-02-20,17786,"Saltley, Our Lady of the Rosary & S Therese of Lisieux (RC)",West Midlands,changed domain of association webpage,,
2023-02-20,17787,"St Andrews, Holy Trinity","Fife, Scotland",changed domain of association webpage,,
2023-02-20,17783,"St Helens, S Mary, Lowe House (RC)",Merseyside,changed domain of association webpage,,
2023-02-20,11340,"York, Cath & Metropolitical Ch of S Peter",North Yorkshire,changed domain of association webpage,,
2023-02-19,13826,"Denton, S Andrew",Lincolnshire,PN deleted - no practice,"Liz Carter, local ringer #004590",
2023-02-19,10106,"Harlaxton, S Mary & S Peter",Lincolnshire,PN amended,"Liz Carter, local ringer #004590",
2023-02-19,13516,"Hartlepool, S Oswald",Durham,Ellacombe deleted,"Jack Hanlon, tower captain #004576",
2023-02-19,11864,"Shinfield, S Mary",Berkshire,PN amended,Peter Robson #004589,
2023-02-19,15586,"Swallowfield, All Saints",Berkshire,PN amended,Peter Robson  #004589,
2023-02-19,12434,"Waterford, Christ Church Cathedral","Waterford, Republic of Ireland",PN added; headstock of the 5th noted as cracked and unringable,"Susan Ellis, Secretary",
2023-02-18,25273,"Selsey, S Peter",West Sussex,"New tower, chime and bell details added; overhaul added",OS Map; ABC Gazetteer; Crockford; CHR; StreetMap; Historic England and David Cawley,
2023-02-18,12600,"Twickenham, All Hallows",Greater London,Fr1: layout amended,Nigel Taylor,
2023-02-18,13017,"Vale, S Michel du Valle","Guernsey, Channel Islands","Fr9: date, material, maker, truss, layout added; Sanctus: weight amended, nominal, note, hanging type added","John David, local contact. Recorded by John David, analysed by Nick Bowden",
2023-02-18,10533,"Wellington, Cath Ch of S Paul","North Island, New Zealand","Service: weight, canons amended, nominal, note, diameter, cast year, founder, bell name added","Updated information provided by Dylan Thomas, local contact. Additional information (weight) provided by Dave Kelly, Keltek Trust, citing Nigel Taylor, WBF",
2023-02-18,24643,"Westfield, S John Bapt",East Sussex,1-3: hanging type added,Tim Jackson from personal visit (2007),
2023-02-18,16780,"Whitfield, S John Ev",Northamptonshire,"Fr2: material, truss, layout added; 1: weight, diameter added; 1-6: canons, turning added","Ian Chapple, local contact",
2023-02-18,24961,"Woodmancote, S Peter",West Sussex,1-3: hanging type added,Tim Jackson from personal visit (2008),
2023-02-17,25272,"Morton on the Hill, S Margaret",Norfolk,New tower and chime added,OS Map; ABC Gazetteer; CHR; StreetMap; Historic England and see: https://www.roundtowerchurches.net/norfolk/norfolk-m-r/morton-on-the-hill-2/,
2023-02-17,17523,"Old Milverton, S James",Warwickshire,Tower unsafe deleted,Tim Jackson,
2023-02-17,10285,"Osmotherley, S Peter",North Yorkshire,"Fr1: truss, layout amended","John Arthur, DAC Bells Advisor, York Diocese",
2023-02-17,22712,"Penhurst, S Michael the Archangel",East Sussex,"Chime: second bell added; 1-2: weight, hanging type added",David Cawley,
2023-02-17,17268,"Peopleton, S Nicholas",Worcestershire,Tower unsafe deleted,Tim Jackson,
2023-02-17,25246,"Rickinghall Inferior, S Mary",Suffolk,GF added,"Neal Dodge, Suffolk G PRO, taken from the Ranald Clouston papers",
2023-02-17,11539,"Rochester, The Ascension","New York, United States of America",Fr1: layout amended,Nigel Taylor,
2023-02-17,23174,"Sandford on Thames, S Andrew",Oxfordshire,"Overhaul added; 2: cracked; 1: weight, diameter, cast year, founder, hanging type, canons, turning added; 2,3: cast year, founder, hanging type added","Chris Pickford, citing Whites of Appleton job books",
2023-02-16,17738,"Anmer, S Mary V",Norfolk,4: diameter added,Keltek Trust records,#004584
2023-02-16,11546,"Arborfield, S Bartholomew",Berkshire,Fr1: maker amended; 1-6: turning added,"Darren Smith, tower captain, citing Whites of Appleton inspection report",
2023-02-16,16292,"Bolton le Sands, Holy Trinity",Lancashire,Ellacombe deleted (there are no chiming hammers; the chiming console is connected directly to the clappers),"Peter Rivet, DAC Bells Advisor Blackburn Dio",
2023-02-16,13736,"Cape Town, Cath Ch of S George","Western Cape, South Africa",Fr1: layout amended,Nigel Taylor,
2023-02-16,16077,"Chearsley, S Nicholas",Buckinghamshire,"Fr1.1, Fr1.2, Fr1A added; Fr1: material, truss, layout amended, resultant layout added","Bucks B&B, Smith. Additional information provided by Andrew Haseldine, local contact",
2023-02-16,10237,"Chichester, Cath Ch of Holy Trinity",West Sussex,1-8: turning added,Matthew Higby inspection 15/2/23,#004583
2023-02-16,19835,"Eastbourne, S John, Meads",East Sussex,Sub-place name added; dedication amended; detached tower added; disused bell transferred,"OS map, ABC Gazetteer, Crockford, Sussex B&B, Elphick and David Cawley",
2023-02-16,25271,"Feltwell, S Nicholas",Norfolk,New tower and chime added,OS Map; ABC Gazetteer; CHR; StreetMap; Historic England and see: https://www.roundtowerchurches.net/norfolk/norfolk-c-g/feltwell-2/,
2023-02-16,15636,"Harare, Cath Ch of S Mary & All Saints",Zimbabwe,Fr1: layout amended,Nigel Taylor,
2023-02-16,11895,"Harpley, S Lawrence",Norfolk,Tuning added; 2: note amended,Re-evaluation of NBR nominals and associated sound clips,
2023-02-16,13580,"Kent, Kent School Chapel","Connecticut, United States of America",Fr1: layout added,Nigel Taylor,
2023-02-16,17272,"Kingston near Lewes, S Pancras",East Sussex,Toilet added,Geoff Horritt from personal visit,
2023-02-15,12540,"Canewdon, S Nicholas",Essex,Fr1: layout amended,Whitechapel records,Tim Jackson
2023-02-15,12701,"Chilcompton, S John Bapt",Somerset,"Fr1,2: layout frame notes added",Dove team records,Dickon R Love
2023-02-15,25131,"Claydon, S Peter",Suffolk,"1: weight, diameter, note, nominal, canons, turning added; sanctus: diameter, founder, canons, turning added",Ranald Clouston papers 1958,Neal Dodge
2023-02-15,22971,"Redisham, S Peter",Suffolk,"1: weight, founder, canons, and turning added",Ranald Clouston papers 1956,Neal Dodge
2023-02-14,18458,"Blunsdon, S Andrew",Wiltshire,Added alt name (the name the church is most often used by). 1-2: hanging added.,Local media incl quinquennial drone video,
2023-02-13,18691,"Bristol, S Nicholas",City of Bristol,Frame layout narrative added,Nicholas Bowden website,
2023-02-13,12587,"Bury St Edmunds, Cath Ch of S James & S Edmund",Suffolk,Frame layout description added.,Ranald Clouston,Neal Dodge
2023-02-13,16115,"Durham, Cath Ch of Christ, Blessed Virgin Mary, & S Cuthbert",Durham,Fr1: layout amended,Photographs,
